,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0020900034,1610612755,76ers,PHI,Philadelphia,265:00,0.905,0.095,0.681,0.298,0.064,0.149,0.255,0.064,0.383,0.354,0.646,1.0,0.0,0.392,0.608
1,0020900035,1610612745,Rockets,HOU,Houston,240:00,0.696,0.304,0.505,0.126,0.324,0.099,0.171,0.171,0.378,0.286,0.714,0.917,0.083,0.475,0.525
0,0020900035,1610612757,Trail Blazers,POR,Portland,240:00,0.757,0.243,0.598,0.243,0.168,0.019,0.234,0.206,0.355,0.406,0.594,1.0,0.0,0.5,0.5
0,0020900036,1610612749,Bucks,MIL,Milwaukee,240:00,0.756,0.244,0.5,0.104,0.25,0.167,0.25,0.25,0.396,0.458,0.542,0.875,0.125,0.563,0.438
1,0020900036,1610612765,Pistons,DET,Detroit,240:00,0.775,0.225,0.635,0.329,0.141,0.047,0.224,0.247,0.306,0.519,0.481,0.75,0.25,0.548,0.452
1,0020900037,1610612758,Kings,SAC,Sacramento,240:00,0.77,0.23,0.574,0.149,0.191,0.096,0.234,0.266,0.426,0.444,0.556,0.667,0.333,0.485,0.515
0,0020900037,1610612759,Spurs,SAS,San Antonio,240:00,0.784,0.216,0.619,0.159,0.212,0.124,0.168,0.274,0.46,0.343,0.657,1.0,0.0,0.465,0.535
1,0020900038,1610612742,Mavericks,DAL,Dallas,240:00,0.833,0.167,0.688,0.28,0.097,0.108,0.215,0.258,0.409,0.719,0.281,0.667,0.333,0.714,0.286
0,0020900038,1610612746,Clippers,LAC,Los Angeles,240:00,0.773,0.227,0.619,0.167,0.214,0.131,0.167,0.131,0.452,0.692,0.308,0.833,0.167,0.719,0.281
1,0020900039,1610612753,Magic,ORL,Orlando,240:00,0.61,0.39,0.304,0.08,0.408,0.112,0.288,0.136,0.224,0.526,0.474,0.824,0.176,0.667,0.333
0,0020900039,1610612761,Raptors,TOR,Toronto,240:00,0.77,0.23,0.517,0.19,0.259,0.043,0.224,0.129,0.328,0.3,0.7,1.0,0.0,0.475,0.525
1,0020900040,1610612738,Celtics,BOS,Boston,240:00,0.803,0.197,0.722,0.144,0.186,0.072,0.093,0.196,0.577,0.629,0.371,0.833,0.167,0.659,0.341
0,0020900040,1610612740,Hornets,NOH,New Orleans,240:00,0.654,0.346,0.483,0.184,0.448,0.115,0.069,0.172,0.299,0.524,0.476,0.846,0.154,0.647,0.353
1,0020900041,1610612741,Bulls,CHI,Chicago,240:00,0.864,0.136,0.782,0.368,0.069,0.138,0.149,0.195,0.414,0.353,0.647,0.5,0.5,0.361,0.639
0,0020900041,1610612748,Heat,MIA,Miami,240:00,0.792,0.208,0.653,0.253,0.126,0.063,0.221,0.126,0.4,0.355,0.645,1.0,0.0,0.429,0.571
0,0020900042,1610612757,Trail Blazers,POR,Portland,240:00,0.696,0.304,0.482,0.12,0.289,0.024,0.229,0.193,0.361,0.4,0.6,1.0,0.0,0.571,0.429
1,0020900042,1610612760,Thunder,OKC,Oklahoma City,240:00,0.8,0.2,0.568,0.162,0.122,0.108,0.311,0.189,0.405,0.143,0.857,1.0,0.0,0.25,0.75
1,0020900043,1610612743,Nuggets,DEN,Denver,240:00,0.8,0.2,0.571,0.165,0.203,0.195,0.226,0.218,0.406,0.711,0.289,1.0,0.0,0.766,0.234
0,0020900043,1610612763,Grizzlies,MEM,Memphis,240:00,0.783,0.217,0.65,0.114,0.195,0.252,0.154,0.106,0.537,0.525,0.475,0.75,0.25,0.563,0.438
1,0020900044,1610612750,Timberwolves,MIN,Minnesota,240:00,0.887,0.113,0.714,0.357,0.134,0.152,0.152,0.196,0.357,0.525,0.475,0.6,0.4,0.533,0.467
0,0020900044,1610612756,Suns,PHX,Phoenix,240:00,0.683,0.317,0.45,0.1,0.35,0.15,0.2,0.167,0.35,0.407,0.593,0.786,0.214,0.537,0.463
1,0020900045,1610612737,Hawks,ATL,Atlanta,240:00,0.742,0.258,0.6,0.145,0.191,0.055,0.209,0.2,0.455,0.485,0.515,0.714,0.286,0.525,0.475
0,0020900045,1610612747,Lakers,LAL,Los Angeles,240:00,0.828,0.172,0.695,0.186,0.127,0.136,0.178,0.229,0.508,0.537,0.463,0.8,0.2,0.565,0.435
0,0020900046,1610612751,Nets,NJN,New Jersey,240:00,0.851,0.149,0.647,0.118,0.132,0.191,0.221,0.309,0.529,0.409,0.591,0.667,0.333,0.44,0.56
1,0020900046,1610612766,Bobcats,CHA,Charlotte,240:00,0.797,0.203,0.582,0.127,0.038,0.127,0.38,0.354,0.456,0.478,0.522,1.0,0.0,0.5,0.5
1,0020900047,1610612740,Hornets,NOH,New Orleans,240:00,0.698,0.302,0.577,0.252,0.27,0.0,0.153,0.054,0.324,0.531,0.469,0.7,0.3,0.571,0.429
0,0020900047,1610612752,Knicks,NYK,New York,240:00,0.753,0.247,0.615,0.188,0.179,0.051,0.205,0.094,0.427,0.472,0.528,1.0,0.0,0.558,0.442
1,0020900048,1610612745,Rockets,HOU,Houston,240:00,0.774,0.226,0.566,0.23,0.265,0.212,0.168,0.23,0.336,0.594,0.406,1.0,0.0,0.69,0.31
0,0020900048,1610612762,Jazz,UTA,Utah,240:00,0.845,0.155,0.604,0.188,0.094,0.24,0.302,0.188,0.417,0.552,0.448,0.667,0.333,0.563,0.438
0,0020900049,1610612758,Kings,SAC,Sacramento,265:00,0.731,0.269,0.488,0.173,0.331,0.087,0.181,0.181,0.315,0.484,0.516,0.786,0.214,0.578,0.422
1,0020900049,1610612763,Grizzlies,MEM,Memphis,265:00,0.909,0.091,0.69,0.207,0.129,0.164,0.181,0.147,0.483,0.3,0.7,1.0,0.0,0.378,0.622
1,0020900050,1610612746,Clippers,LAC,Los Angeles,240:00,0.76,0.24,0.602,0.129,0.129,0.118,0.269,0.097,0.473,0.679,0.321,1.0,0.0,0.719,0.281
0,0020900050,1610612750,Timberwolves,MIN,Minnesota,240:00,0.932,0.068,0.778,0.244,0.067,0.133,0.156,0.333,0.533,0.543,0.457,1.0,0.0,0.568,0.432
1,0020900051,1610612739,Cavaliers,CLE,Cleveland,240:00,0.698,0.302,0.49,0.098,0.324,0.088,0.186,0.167,0.392,0.64,0.36,0.818,0.182,0.694,0.306
