GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
21700892,1610612766,Hornets,CHA,Charlotte,240:00,0.602,0.398,0.456,0.035,0.421,0.114,0.123,0.184,0.421,0.577,0.423,0.813,0.188,0.667,0.333
21700892,1610612765,Pistons,DET,Detroit,240:00,0.788,0.212,0.776,0.143,0.122,0.092,0.102,0.173,0.633,0.5,0.5,1.0,0.0,0.548,0.452
21700893,1610612740,Pelicans,NOP,New Orleans,265:00,0.72,0.28,0.667,0.13,0.244,0.163,0.089,0.163,0.537,0.39,0.61,0.6,0.4,0.431,0.569
21700893,1610612749,Bucks,MIL,Milwaukee,265:00,0.74,0.26,0.612,0.149,0.174,0.116,0.215,0.174,0.463,0.432,0.568,0.714,0.286,0.477,0.523
21700894,1610612739,Cavaliers,CLE,Cleveland,240:00,0.626,0.374,0.638,0.106,0.255,0.298,0.106,0.117,0.532,0.4,0.6,0.75,0.25,0.474,0.526
21700894,1610612759,Spurs,SAS,San Antonio,240:00,0.779,0.221,0.527,0.218,0.245,0.136,0.227,0.264,0.309,0.483,0.517,0.889,0.111,0.579,0.421
21700895,1610612764,Wizards,WAS,Washington,240:00,0.684,0.316,0.569,0.257,0.33,0.147,0.101,0.156,0.312,0.806,0.194,0.833,0.167,0.814,0.186
21700895,1610612755,76ers,PHI,Philadelphia,240:00,0.616,0.384,0.468,0.021,0.287,0.149,0.245,0.33,0.447,0.682,0.318,1.0,0.0,0.774,0.226
21700896,1610612743,Nuggets,DEN,Denver,240:00,0.681,0.319,0.596,0.0,0.263,0.132,0.14,0.228,0.596,0.735,0.265,0.8,0.2,0.75,0.25
21700896,1610612745,Rockets,HOU,Houston,240:00,0.545,0.455,0.403,0.05,0.378,0.109,0.218,0.151,0.353,0.375,0.625,0.6,0.4,0.462,0.538
