,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0022000671,1610612739,Cavaliers,CLE,Cleveland,240:00,0.685,0.315,0.602,0.058,0.32,0.039,0.078,0.107,0.544,0.581,0.419,0.909,0.091,0.667,0.333
1,0022000671,1610612741,Bulls,CHI,Chicago,240:00,0.663,0.337,0.617,0.085,0.255,0.106,0.128,0.149,0.532,0.483,0.517,0.875,0.125,0.568,0.432
0,0022000672,1610612745,Rockets,HOU,Houston,240:00,0.43,0.57,0.351,0.041,0.495,0.031,0.155,0.186,0.309,0.588,0.412,0.875,0.125,0.727,0.273
1,0022000672,1610612766,Hornets,CHA,Charlotte,240:00,0.525,0.475,0.377,0.033,0.443,0.123,0.18,0.107,0.344,0.522,0.478,0.833,0.167,0.659,0.341
0,0022000673,1610612750,Timberwolves,MIN,Minnesota,240:00,0.558,0.442,0.481,0.074,0.333,0.028,0.185,0.111,0.407,0.577,0.423,0.75,0.25,0.632,0.368
1,0022000673,1610612742,Mavericks,DAL,Dallas,240:00,0.556,0.444,0.5,0.047,0.375,0.117,0.125,0.102,0.453,0.469,0.531,0.75,0.25,0.563,0.438
1,0022000674,1610612763,Grizzlies,MEM,Memphis,240:00,0.697,0.303,0.621,0.034,0.284,0.172,0.095,0.181,0.586,0.333,0.667,0.636,0.364,0.404,0.596
0,0022000674,1610612760,Thunder,OKC,Oklahoma City,240:00,0.632,0.368,0.617,0.075,0.28,0.15,0.103,0.224,0.542,0.515,0.485,0.9,0.1,0.605,0.395
0,0022000675,1610612759,Spurs,SAS,San Antonio,240:00,0.741,0.259,0.634,0.059,0.208,0.119,0.158,0.069,0.574,0.531,0.469,0.714,0.286,0.564,0.436
1,0022000675,1610612746,Clippers,LAC,LA,240:00,0.625,0.375,0.478,0.164,0.381,0.075,0.142,0.209,0.313,0.313,0.688,0.765,0.235,0.469,0.531
1,0022000676,1610612751,Nets,BKN,Brooklyn,240:00,0.639,0.361,0.636,0.068,0.239,0.205,0.125,0.17,0.568,0.464,0.536,0.857,0.143,0.543,0.457
0,0022000676,1610612762,Jazz,UTA,Utah,240:00,0.396,0.604,0.305,0.051,0.585,0.153,0.11,0.144,0.254,0.278,0.722,0.826,0.174,0.585,0.415
1,0022000677,1610612737,Hawks,ATL,Atlanta,240:00,0.706,0.294,0.63,0.093,0.194,0.093,0.176,0.231,0.537,0.353,0.647,0.714,0.286,0.415,0.585
0,0022000677,1610612758,Kings,SAC,Sacramento,240:00,0.643,0.357,0.545,0.145,0.273,0.064,0.182,0.173,0.4,0.5,0.5,0.6,0.4,0.525,0.475
0,0022000678,1610612757,Trail Blazers,POR,Portland,240:00,0.5,0.5,0.384,0.096,0.48,0.04,0.136,0.064,0.288,0.292,0.708,0.85,0.15,0.545,0.455
1,0022000678,1610612748,Heat,MIA,Miami,240:00,0.595,0.405,0.508,0.082,0.393,0.041,0.098,0.066,0.426,0.645,0.355,0.875,0.125,0.723,0.277
1,0022000679,1610612752,Knicks,NYK,New York,240:00,0.699,0.301,0.509,0.17,0.198,0.123,0.292,0.226,0.34,0.37,0.63,0.571,0.429,0.412,0.588
0,0022000679,1610612764,Wizards,WAS,Washington,240:00,0.675,0.325,0.569,0.098,0.235,0.137,0.196,0.176,0.471,0.621,0.379,1.0,0.0,0.703,0.297
1,0022000680,1610612746,Clippers,LAC,LA,240:00,0.618,0.382,0.429,0.082,0.398,0.082,0.173,0.061,0.347,0.238,0.762,0.846,0.154,0.471,0.529
0,0022000680,1610612759,Spurs,SAS,San Antonio,240:00,0.72,0.28,0.588,0.118,0.282,0.059,0.129,0.118,0.471,0.36,0.64,0.875,0.125,0.485,0.515
0,0022000681,1610612755,76ers,PHI,Philadelphia,240:00,0.438,0.563,0.404,0.055,0.468,0.11,0.128,0.22,0.349,0.409,0.591,0.882,0.118,0.615,0.385
1,0022000681,1610612747,Lakers,LAL,Los Angeles,240:00,0.667,0.333,0.495,0.02,0.267,0.119,0.238,0.218,0.475,0.52,0.48,1.0,0.0,0.647,0.353
0,0022000682,1610612758,Kings,SAC,Sacramento,240:00,0.573,0.427,0.482,0.085,0.404,0.106,0.113,0.135,0.397,0.441,0.559,0.684,0.316,0.528,0.472
1,0022000682,1610612744,Warriors,GSW,Golden State,240:00,0.636,0.364,0.471,0.034,0.429,0.067,0.101,0.076,0.437,0.321,0.679,0.882,0.118,0.533,0.467
0,0022000683,1610612765,Pistons,DET,Detroit,240:00,0.575,0.425,0.396,0.072,0.297,0.018,0.306,0.108,0.324,0.455,0.545,0.818,0.182,0.576,0.424
