,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,MINUTES,AVG_PTS_PM,AVG_REB_PM,AVG_AST_PM,AVG_STL_PM,AVG_BLK_PM,AVG_TO_PM,AVG_PACE,AVG_FG_PCT,AVG_FT_PCT,AVG_PLUS_MINUS,GAME_COUNT
24,NYK,Miles McBride,22022,0022200122,2022-11-04,NYK @ PHI,0.49047619047619045,,,,,,,309.937,0.0,0.0,-0.286,7
25,ORL,Jameer Nelson,22012,0021201117,2013-04-03,ORL @ SAS,27.426666666666666,,,,,,,75.542,0.0,0.0,0.0,75
26,MIN,Josh Okogie,22020,0022000792,2021-04-09,MIN @ BOS,17.99,,,,,,,79.582,0.168,0.166,-3.5,42
27,TOR,Dalano Banton,22021,22100748,2022-01-29,TOR @ MIA,6.028333333333333,,,,,,,49.357,0.15,0.0,3.6,43
28,GSW,Klay Thompson,22015,0021500314,2015-12-08,GSW @ IND,31.958333333333332,0.0,0.0,0.0,0.0,0.0,0.0,99.825,0.0,0.0,0.0,22
29,PHI,Mike Muscala,22018,0021800768,2019-01-31,PHI @ GSW,20.45,0.362,0.173,0.035,0.037,0.034,0.041,106.123,0.436,0.4,8.3,46
30,WAS,Taj Gibson,22022,0022200378,2022-12-09,WAS @ IND,5.991666666666666,,,,,,,72.273,0.233,0.1,3.9,23
31,TOR,Chris Boucher,22020,0022000175,2021-01-14,TOR vs. CHA,22.196666666666665,0.39,0.165,0.025,0.024,0.064,0.011,105.319,0.355,0.527,2.4,10
32,GSW,Andre Iguodala,22014,0021400289,2014-12-06,GSW @ CHI,25.711666666666666,0.0,0.0,0.0,0.0,0.0,0.0,98.208,0.0,0.0,0.0,18
33,LAL,Kobe Bryant,22012,0021200406,2012-12-25,LAL vs. NYK,41.06333333333333,0.0,0.0,0.0,0.0,0.0,0.0,96.59,0.0,0.0,0.0,27
34,PHX,Jared Dudley,22011,0021100455,2012-02-17,PHX @ LAL,28.420000000000005,,,,,,,84.743,0.0,0.0,0.0,30
35,GSW,Stephen Curry,22014,0021400365,2014-12-16,GSW @ MEM,33.34666666666667,0.0,0.0,0.0,0.0,0.0,0.0,100.742,0.0,0.0,0.0,23
36,LAC,Jared Dudley,22013,0021301215,2014-04-15,LAC vs. DEN,13.331666666666667,,,,,,,89.577,0.0,0.0,0.0,80
37,OKC,Russell Westbrook,22012,0021200962,2013-03-13,OKC vs. UTA,33.95166666666666,0.0,0.0,0.0,0.0,0.0,0.0,95.764,0.0,0.0,0.0,64
38,BKN,James Johnson,22021,22101120,2022-03-27,BKN vs. CHA,16.88,0.223,0.213,0.114,0.024,0.047,0.043,99.35,0.489,0.2,0.2,69
39,WAS,Anthony Gill,22021,22100716,2022-01-25,WAS vs. LAC,4.908333333333333,,,,,,,53.364,0.177,0.15,-0.1,35
40,LAL,JaVale McGee,22019,0021900726,2020-01-31,LAL vs. POR,18.82,0.467,0.335,0.033,0.04,0.115,0.037,103.017,0.67,0.425,5.1,44
41,NOP,Frank Jackson,22018,0021800478,2018-12-21,NOP @ LAL,11.74,,,,,,,81.842,0.263,0.2,0.0,26
42,DAL,Bernard James,22012,0021201110,2013-04-02,DAL @ LAL,1.3083333333333333,,,,,,,89.628,0.0,0.0,0.0,68
43,NOP,Nickeil Alexander-Walker,22021,22100325,2021-12-01,NOP vs. DAL,25.561666666666667,0.475,0.136,0.099,0.032,0.013,0.046,98.821,0.334,0.5,-2.3,23
44,BKN,Nic Claxton,22019,0021900335,2019-12-08,BKN vs. DEN,4.888333333333333,,,,,,,42.055,0.05,0.15,-2.8,16
45,NOP,Jose Alvarado,22021,22100919,2022-02-27,NOP @ LAL,14.348333333333334,,,,,,,90.097,0.343,0.3,5.3,54
46,UTA,Derrick Favors,22018,0021800278,2018-11-23,UTA @ LAL,23.488333333333337,0.458,0.305,0.038,0.046,0.064,0.038,100.287,0.669,0.418,-4.0,17
47,PHI,Trey Burke,22019,0021900641,2020-01-20,PHI @ BKN,9.559999999999999,,,,,,,67.259,0.291,0.15,0.2,42
48,TOR,Chuck Hayes,22014,0021400592,2015-01-16,TOR vs. ATL,1.5866666666666664,,,,,,,29.52,0.0,0.0,0.0,38
49,HOU,Chris Paul,22018,0021800945,2019-03-03,HOU @ BOS,33.44500000000001,0.541,0.161,0.274,0.058,0.006,0.081,103.222,0.431,0.907,8.7,44
50,HOU,Kostas Papanikolaou,42014,0041400313,2015-05-23,HOU vs. GSW,1.525,,,,,,,58.938,0.0,0.0,0.0,14
51,UTA,Ochai Agbaji,22022,0022200537,2022-12-30,UTA @ SAC,5.443333333333333,,,,,,,76.734,0.215,0.0,-2.6,31
52,MIL,Larry Sanders,22012,0021200828,2013-02-23,MIL vs. ATL,28.01666666666667,0.0,0.0,0.0,0.0,0.0,0.0,97.301,0.0,0.0,0.0,48
53,DAL,Spencer Dinwiddie,42021,42100224,2022-05-08,DAL vs. PHX,31.409259259259258,0.387,0.099,0.124,0.033,0.008,0.047,92.708,0.351,0.526,1.111,9
54,CHA,James Bouknight,22022,0022200011,2022-10-19,CHA @ SAS,,,,,,,,,,,,0
55,BOS,Jae Crowder,22016,0021600546,2017-01-06,BOS vs. PHI,34.14833333333333,0.29,0.106,0.056,0.033,0.0,0.023,98.178,0.361,0.617,6.5,27
56,GSW,Andre Iguodala,22014,0021400741,2015-02-04,GSW vs. DAL,19.744999999999997,,,,,,,81.893,0.0,0.0,0.0,46
57,NOP,Garrett Temple,22022,0022200253,2022-11-21,NOP vs. GSW,2.0633333333333335,,,,,,,20.228,0.067,0.0,-2.0,14
58,GSW,Andre Iguodala,22017,0021700215,2017-11-16,GSW @ BOS,24.878333333333334,0.228,0.136,0.133,0.025,0.021,0.021,103.264,0.447,0.242,3.0,12
59,UTA,Rudy Gobert,22018,0021800172,2018-11-09,UTA vs. BOS,33.35166666666667,0.488,0.387,0.042,0.036,0.07,0.056,101.514,0.702,0.555,4.8,11
60,ATL,Kent Bazemore,22014,0021400998,2015-03-16,ATL @ SAC,26.028333333333336,0.0,0.0,0.0,0.0,0.0,0.0,95.938,0.0,0.0,0.0,66
61,GSW,Marreese Speights,22015,0021500144,2015-11-14,GSW vs. BKN,9.753333333333334,,,,,,,92.664,0.0,0.0,0.0,10
62,CLE,Donald Sloan,22012,0021200172,2012-11-23,CLE @ ORL,6.7700000000000005,,,,,,,69.596,0.0,0.0,0.0,11
63,DEN,Jack White,22022,0022200847,2023-02-11,DEN @ CHA,1.5383333333333333,,,,,,,45.161,0.117,0.1,-1.0,26
64,CHA,Troy Daniels,22015,0021501178,2016-04-08,CHA vs. BKN,2.8233333333333333,,,,,,,43.617,0.0,0.0,0.0,75
65,WAS,John Wall,22012,0021200613,2013-01-21,WAS @ POR,24.65666666666667,0.0,0.0,0.0,0.0,0.0,0.0,99.854,0.0,0.0,0.0,5
66,SAS,Marco Belinelli,22019,0021901314,2020-08-13,SAS @ UTA,14.413333333333332,,,,,,,99.683,0.344,0.3,-0.1,65
67,PHX,Cameron Payne,22019,0021901258,2020-08-04,PHX @ LAC,19.333333333333332,0.491,0.181,0.078,0.078,0.052,0.052,109.265,0.486,0.0,7.0,2
68,DET,Blake Griffin,22018,0021801044,2019-03-17,DET vs. TOR,31.85333333333333,0.564,0.189,0.196,0.02,0.009,0.082,97.627,0.404,0.642,0.0,67
69,PHX,Torrey Craig,22021,22101038,2022-03-16,PHX @ HOU,19.48333333333333,0.235,0.193,0.065,0.034,0.032,0.066,101.13,0.252,0.183,-2.8,68
70,MEM,Tony Allen,22011,0021100648,2012-03-16,MEM vs. TOR,25.258333333333336,0.0,0.0,0.0,0.0,0.0,0.0,95.194,0.0,0.0,0.0,41
71,WAS,Ron Baker,22018,0021800588,2019-01-06,WAS @ OKC,5.223333333333334,,,,,,,40.999,0.067,0.0,-1.2,35
72,NOP,Bryce Dejean-Jones,22015,0021500742,2016-02-03,NOP @ SAS,17.063888888888886,0.0,0.0,0.0,0.0,0.0,0.0,94.622,0.0,0.0,0.0,6
73,PHI,Joel Embiid,22019,0021900316,2019-12-05,PHI @ WAS,31.001666666666665,0.706,0.387,0.088,0.031,0.04,0.086,100.013,0.437,0.747,7.0,19
74,BOS,Jordan Mickey,22016,0021600798,2017-02-09,BOS @ POR,2.7266666666666666,,,,,,,40.553,0.1,0.0,-0.7,36
