,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,converted_minutes,rolling_10_avg_minutes,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
247,CLE,Jordan McRae,22015,0021501111,2016-03-29,CLE vs. HOU,0.0,2.7616666666666667,,,,0.0,,,,,0.5714285714285714,,7.142857142857143,0.0,,,,,24
248,GSW,Kelly Oubre Jr.,22020,0022000841,2021-04-15,GSW @ CLE,0.0,26.086666666666666,,,,0.0,,,,,0.512,0.18524999999999997,6.85,0.04410000000000001,0.5215000000000001,0.26225,0.146,0.21924999999999997,53
249,UTA,Bojan Bogdanovic,22019,0021900525,2020-01-04,UTA @ ORL,29.85,35.05333333333334,0.385,,16.7,0.054,,,,,0.4796,,12.959999999999999,0.0201,,,,,33
250,MIN,Karl-Anthony Towns,22015,0021500368,2015-12-15,MIN vs. DEN,28.05,25.721666666666664,0.714,,0.0,0.138,,,,,0.5675999999999999,,12.86,0.0755,,,,,23
251,DEN,Isaiah Hartenstein,22020,0022000076,2021-01-01,DEN vs. PHX,8.516666666666667,9.279166666666665,0.6,,0.0,0.167,,,,,0.4415,0.422,16.975,0.16675,0.4585,0.4335,0.175,0.1965,4
252,CHI,Dwyane Wade,22016,0021601222,2017-04-12,CHI vs. BKN,22.483333333333334,27.961666666666662,0.333,0.19,30.0,0.0,0.372,0.128,0.136,0.172,0.4429,0.17057142857142857,11.739999999999998,0.0325,0.5174285714285715,0.19614285714285712,0.10757142857142858,0.1862857142857143,65
253,HOU,Josh Christopher,22022,0022200305,2022-11-28,HOU @ DEN,6.116666666666666,4.676666666666666,0.5,0.364,16.7,0.0,0.5,0.077,0.087,0.429,0.3434285714285714,0.39499999999999996,28.185714285714287,0.0299,0.6248571428571429,0.3764285714285714,0.14957142857142855,0.36242857142857143,19
254,PHI,Marcus Morris Sr.,22023,0022300483,2024-01-05,PHI vs. NYK,16.45,19.093333333333334,0.0,0.138,0.0,0.0,0.69,0.276,0.123,0.333,0.5279,0.31820000000000004,4.93,0.021900000000000003,0.4979,0.35919999999999996,0.1469,0.2573,29
255,TOR,Garrett Temple,22023,0022300844,2024-02-28,TOR vs. DAL,0.0,1.5,,,,0.0,,,,,0.25,0.0835,58.35,0.0083,0.5455,0.1035,0.17,0.219,56
256,CHI,Joakim Noah,22011,0021100062,2012-01-01,CHI vs. MEM,22.05,28.2125,0.5,,8.3,0.25,,,,,0.49824999999999997,,14.15,0.13125,,,,,4
