,PLAYER_NAME,minutes,points,assists,steals,blocks,rebounds,THREEPM,EFG_PCT,FT_PCT,DD
98,Trendon Watford,0,0,0,0,0,0,0,,,0
99,Jalen Wilson,0,0,0,0,0,0,0,,,0
100,Andrew Wiggins,26,17,1,0,0,5,0,0.545,0.625,0
101,Draymond Green,28,15,3,0,1,5,2,0.545,1.0,0
102,Kevon Looney,11,4,4,1,1,3,0,0.5,1.0,0
103,Stephen Curry,31,30,7,2,0,8,5,0.767,1.0,0
104,Dario Saric,19,20,3,1,0,6,4,0.889,1.0,0
105,Chris Paul,27,1,13,2,0,2,0,0.0,0.5,0
106,Gary Payton II,22,9,1,2,0,3,1,0.75,,0
107,Moses Moody,17,8,2,1,0,1,2,0.571,,0
108,Usman Garuba,0,0,0,0,0,0,0,,,0
109,Cory Joseph,0,0,0,0,0,0,0,,,0
110,Jerome Robinson,0,0,0,0,0,0,0,,,0
111,Luguentz Dort,30,29,0,0,0,5,6,1.0,0.714,0
112,Jalen Williams,35,18,8,1,0,3,0,0.667,0.4,0
113,Chet Holmgren,31,24,5,1,1,8,2,0.889,1.0,0
114,Cason Wallace,36,13,1,0,0,2,1,0.65,,0
115,Isaiah Joe,26,16,1,0,0,0,3,0.917,0.833,0
116,Aaron Wiggins,16,7,0,1,0,2,1,0.583,,0
117,Vasilije Micic,12,5,3,0,0,1,1,0.5,,0
118,Ousmane Dieng,5,3,1,0,0,1,1,0.5,,0
119,Tre Mann,0,0,0,0,0,0,0,,,0
120,Aleksej Pokusevski,0,0,0,0,0,0,0,,,0
121,Lindy Waters III,0,0,0,0,0,0,0,,,0
122,Derrick Jones Jr.,16,7,1,2,0,1,1,0.7,,0
123,Grant Williams,32,13,2,1,2,5,3,0.55,1.0,0
124,Dereck Lively II,24,4,0,1,1,4,0,0.667,,0
125,Luka Doncic,38,34,8,0,1,10,6,0.583,0.857,1
126,Tim Hardaway Jr.,26,9,2,1,0,3,1,0.438,1.0,0
127,Dwight Powell,16,6,1,0,0,1,0,0.4,1.0,0
128,Jaden Hardy,14,6,3,0,0,3,2,0.5,,0
129,Seth Curry,5,0,1,1,0,1,0,0.0,,0
130,Dante Exum,1,0,0,0,0,0,0,0.0,,0
131,Olivier-Maxence Prosper,1,0,0,0,0,0,0,0.0,,0
132,Richaun Holmes,0,0,0,0,0,0,0,,,0
133,Nikola Jokic,35,33,9,1,1,14,2,0.938,0.6,1
134,Kentavious Caldwell-Pope,36,8,1,2,0,5,2,0.571,,0
135,Jamal Murray,39,18,13,1,0,2,2,0.4,1.0,1
136,Reggie Jackson,19,8,2,4,0,1,1,0.35,0.5,0
137,Peyton Watson,12,3,1,0,2,3,0,0.25,0.5,0
138,Collin Gillespie,0,0,0,0,0,0,0,,,0
139,DeAndre Jordan,0,0,0,0,0,0,0,,,0
140,Jalen Pickett,0,0,0,0,0,0,0,,,0
141,Julian Strawther,0,0,0,0,0,0,0,,,0
142,Matisse Thybulle,18,5,0,0,2,0,1,0.625,,0
143,Jerami Grant,43,26,3,0,1,8,3,0.457,0.556,0
144,Shaedon Sharpe,46,22,2,1,1,5,2,0.471,0.857,0
145,Malcolm Brogdon,44,24,10,3,0,7,2,0.368,0.833,1
146,Robert Williams III,19,8,0,2,1,10,0,0.75,0.667,0
