,PLAYER_NAME,min,pts,ast,stl,blk,rb,tpm,efgp,ftp,dd
72,Bogdan Bogdanovic,30.065217391304348,17.057971014492754,3.050724637681159,1.181159420289855,0.3695652173913043,3.5144927536231885,3.0579710144927534,0.5472608695652174,0.90983,0.014492753623188406
73,James Harden,34.529411764705884,16.83823529411765,8.316176470588236,1.0735294117647058,0.7720588235294118,5.132352941176471,2.5073529411764706,0.5264558823529414,0.8934253731343281,0.29411764705882354
74,Michael Porter Jr.,32.01724137931034,16.735632183908045,1.4425287356321839,0.603448275862069,0.6551724137931034,7.017241379310345,2.6839080459770117,0.578701149425287,0.8296262626262626,0.16666666666666666
75,Immanuel Quickley,28.3046875,16.625,4.84375,0.703125,0.125,3.7890625,2.4140625,0.5282265624999999,0.8468828828828828,0.1171875
76,Jonathan Kuminga,26.264705882352942,16.49264705882353,2.2426470588235294,0.7205882352941176,0.47794117647058826,4.772058823529412,0.75,0.5574852941176471,0.7453492063492064,0.0661764705882353
77,Jarrett Allen,31.24503311258278,16.403973509933774,2.7152317880794703,0.7350993377483444,1.0132450331125828,10.741721854304636,0.0,0.649496688741722,0.7214812030075185,0.5629139072847682
78,Deandre Ayton,31.76,16.38,1.65,1.08,0.75,11.11,0.01,0.5545900000000001,0.8091063829787235,0.59
79,Chet Holmgren,29.55421686746988,16.265060240963855,2.4578313253012047,0.608433734939759,2.391566265060241,7.825301204819277,1.5,0.5885963855421684,0.7696293706293704,0.25301204819277107
80,Khris Middleton,27.878260869565217,16.234782608695653,5.3478260869565215,0.8695652173913043,0.26956521739130435,5.217391304347826,1.7043478260869565,0.5662521739130434,0.8534025974025973,0.17391304347826086
81,Shaedon Sharpe,32.733333333333334,16.2,3.0166666666666666,0.8833333333333333,0.4,5.116666666666666,1.9333333333333333,0.4543166666666668,0.8603962264150943,0.03333333333333333
82,Keldon Johnson,29.310077519379846,16.085271317829456,2.9612403100775193,0.7286821705426356,0.3023255813953488,5.511627906976744,1.937984496124031,0.5197286821705424,0.7973363636363633,0.13953488372093023
83,Tobias Harris,33.16783216783217,16.083916083916083,3.034965034965035,0.965034965034965,0.6363636363636364,6.3776223776223775,1.1818181818181819,0.512027972027972,0.8412758620689652,0.1048951048951049
84,Donte DiVincenzo,29.47752808988764,15.955056179775282,2.702247191011236,1.2865168539325842,0.5280898876404494,3.651685393258427,3.550561797752809,0.5743988764044944,0.7779285714285713,0.0
85,Austin Reaves,31.44848484848485,15.878787878787879,5.212121212121212,0.8363636363636363,0.32727272727272727,4.284848484848485,1.903030303030303,0.5741030303030303,0.862,0.09090909090909091
86,Derrick White,32.6280487804878,15.810975609756097,4.853658536585366,1.0182926829268293,1.146341463414634,4.085365853658536,2.908536585365854,0.5773048780487804,0.8999561403508772,0.04878048780487805
87,Malcolm Brogdon,28.5,15.763157894736842,5.5394736842105265,0.6973684210526315,0.21052631578947367,3.960526315789474,2.013157894736842,0.5132236842105259,0.7991666666666666,0.10526315789473684
88,Jalen Johnson,33.16842105263158,15.589473684210526,3.5789473684210527,1.1578947368421053,0.8315789473684211,8.705263157894738,1.2,0.5637578947368423,0.7365138888888889,0.3263157894736842
89,Kelly Oubre Jr.,30.23404255319149,15.53191489361702,1.5390070921985815,1.1843971631205674,0.7588652482269503,4.9361702127659575,1.5106382978723405,0.5097730496453899,0.6951681415929204,0.04964539007092199
90,Evan Mobley,30.973214285714285,15.482142857142858,3.0714285714285716,0.9017857142857143,1.6428571428571428,9.401785714285714,0.41964285714285715,0.5900803571428572,0.7111894736842104,0.42857142857142855
91,Malik Monk,25.44360902255639,15.451127819548873,5.142857142857143,0.6015037593984962,0.518796992481203,2.8947368421052633,2.030075187969925,0.5130375939849626,0.8386881720430106,0.022556390977443608
92,De'Andre Hunter,29.257425742574256,15.405940594059405,1.5841584158415842,0.6633663366336634,0.26732673267326734,3.9504950495049505,2.0693069306930694,0.5375148514851484,0.7919999999999999,0.0594059405940594
93,Jaden Ivey,27.992481203007518,15.285714285714286,3.789473684210526,0.7443609022556391,0.5112781954887218,3.4586466165413534,1.6616541353383458,0.48991729323308275,0.7734957264957263,0.022556390977443608
94,Deni Avdija,29.595588235294116,15.176470588235293,3.8088235294117645,0.8014705882352942,0.49264705882352944,7.3088235294117645,1.1911764705882353,0.5656470588235292,0.7300245901639342,0.25
95,Keegan Murray,33.06164383561644,15.123287671232877,1.6712328767123288,1.0136986301369864,0.821917808219178,5.404109589041096,2.3767123287671232,0.5186849315068496,0.843987951807229,0.10273972602739725
96,John Collins,27.392,15.072,1.112,0.584,0.912,8.512,1.312,0.59724,0.7746538461538464,0.368
97,GG Jackson II,25.89887640449438,14.92134831460674,1.2808988764044944,0.5955056179775281,0.5056179775280899,4.258426966292135,2.191011235955056,0.5000224719101122,0.7157808219178081,0.0449438202247191
98,Bojan Bogdanovic,24.842105263157894,14.763157894736842,1.6842105263157894,0.5087719298245614,0.09649122807017543,2.675438596491228,2.3684210526315788,0.5239385964912281,0.7355897435897436,0.008771929824561403
99,OG Anunoby,33.88785046728972,14.57943925233645,1.9626168224299065,1.3457943925233644,0.7757009345794392,4.383177570093458,2.0186915887850465,0.5801869158878508,0.7095245901639343,0.009345794392523364
100,Trey Murphy III,29.71794871794872,14.350427350427351,2.1452991452991452,0.9230769230769231,0.5299145299145299,5.0,2.9145299145299144,0.557982905982906,0.7948533333333334,0.017094017094017096
101,Marcus Smart,29.317073170731707,14.170731707317072,4.219512195121951,2.024390243902439,0.2682926829268293,2.6097560975609757,2.073170731707317,0.4945853658536586,0.8225333333333337,0.0
102,Bobby Portis,24.35542168674699,14.144578313253012,1.283132530120482,0.8373493975903614,0.39759036144578314,7.656626506024097,1.1987951807228916,0.5421746987951805,0.8056043956043957,0.2469879518072289
103,Bennedict Mathurin,25.155339805825243,14.087378640776699,1.9223300970873787,0.5728155339805825,0.22330097087378642,3.9902912621359223,1.3300970873786409,0.478990291262136,0.8115764705882352,0.05825242718446602
104,Jabari Smith Jr.,31.41958041958042,13.902097902097902,1.6363636363636365,0.7202797202797203,0.8111888111888111,8.181818181818182,1.8531468531468531,0.5457552447552445,0.826851851851852,0.20279720279720279
105,Norman Powell,25.958333333333332,13.833333333333334,1.0347222222222223,0.5208333333333334,0.2638888888888889,2.5902777777777777,2.1805555555555554,0.5800624999999997,0.7993958333333334,0.0
106,Scoot Henderson,27.811965811965813,13.820512820512821,5.358974358974359,0.7435897435897436,0.21367521367521367,3.0085470085470085,1.3846153846153846,0.44264102564102575,0.8282424242424242,0.1282051282051282
107,Aaron Gordon,31.7375,13.8,3.68125,0.79375,0.59375,6.4,0.61875,0.6076125000000003,0.6407368421052632,0.16875
108,Dennis Schroder,30.54054054054054,13.77027027027027,6.168918918918919,0.777027027027027,0.22297297297297297,3.0405405405405403,1.695945945945946,0.4935743243243243,0.8253644859813082,0.10810810810810811
109,Cameron Johnson,27.09433962264151,13.735849056603774,2.3962264150943398,0.8207547169811321,0.2641509433962264,4.377358490566038,2.4339622641509435,0.5684622641509435,0.73775,0.018867924528301886
110,Gary Trent Jr.,27.519083969465647,13.709923664122137,1.6488549618320612,1.1145038167938932,0.13740458015267176,2.648854961832061,2.4656488549618323,0.5108167938931297,0.7413571428571429,0.015267175572519083
111,Saddiq Bey,32.48623853211009,13.688073394495413,1.4678899082568808,0.8623853211009175,0.2018348623853211,6.568807339449541,1.761467889908257,0.5067522935779819,0.8592413793103448,0.12844036697247707
112,Jalen Duren,28.721153846153847,13.653846153846153,2.4711538461538463,0.5288461538461539,0.8076923076923077,11.576923076923077,0.0,0.6293076923076923,0.7440769230769231,0.7403846153846154
113,Rudy Gobert,33.55688622754491,13.640718562874252,1.3832335329341316,0.7245508982035929,1.9401197604790419,12.389221556886227,0.0,0.6624790419161675,0.6234705882352941,0.6526946107784432
114,Rui Hachimura,26.55,13.4,1.2357142857142858,0.5571428571428572,0.35,4.228571428571429,1.4,0.612764285714286,0.7045108695652174,0.04285714285714286
115,Corey Kispert,25.53472222222222,13.3125,1.9722222222222223,0.5138888888888888,0.2152777777777778,2.861111111111111,2.2291666666666665,0.5920347222222225,0.7091346153846154,0.013888888888888888
116,Naz Reid,23.825842696629213,13.162921348314606,1.2752808988764044,0.7696629213483146,0.8707865168539326,4.99438202247191,1.9606741573033708,0.5690337078651688,0.7253559322033898,0.07865168539325842
117,Caris LeVert,27.39455782312925,13.122448979591837,4.63265306122449,1.0,0.47619047619047616,4.0476190476190474,1.380952380952381,0.4616802721088435,0.746494736842105,0.07482993197278912
118,Grayson Allen,32.68345323741007,13.115107913669064,3.014388489208633,0.8920863309352518,0.5467625899280576,3.9280575539568345,2.633093525179856,0.6351726618705038,0.8643829787234043,0.02158273381294964
119,Javonte Green,25.823529411764707,13.058823529411764,0.5294117647058824,1.1176470588235294,0.7647058823529411,7.764705882352941,1.1764705882352942,0.6643529411764706,0.8,0.11764705882352941
120,Scotty Pippen Jr.,24.829268292682926,12.902439024390244,4.7560975609756095,1.7804878048780488,0.5365853658536586,3.268292682926829,1.4390243902439024,0.5409512195121952,0.7007333333333333,0.0
121,Keyonte George,26.683823529411764,12.816176470588236,4.529411764705882,0.5073529411764706,0.10294117647058823,2.8161764705882355,1.8897058823529411,0.45343382352941164,0.8418265306122447,0.014705882352941176
122,Andrew Wiggins,26.338461538461537,12.807692307692308,1.6846153846153846,0.5692307692307692,0.5538461538461539,4.5,1.2923076923076924,0.49257692307692297,0.7413406593406592,0.038461538461538464
123,Brook Lopez,30.15625,12.80625,1.60625,0.5,2.325,5.05,1.8875,0.5776687500000001,0.8094565217391306,0.05
124,Jrue Holiday,33.15923566878981,12.796178343949045,4.8152866242038215,0.9299363057324841,0.732484076433121,5.643312101910828,2.0191082802547773,0.5973757961783441,0.8511506849315068,0.11464968152866242
125,Mark Williams,27.029411764705884,12.705882352941176,1.3235294117647058,0.8235294117647058,1.1470588235294117,10.176470588235293,0.0,0.6680882352941179,0.7634516129032258,0.47058823529411764
126,Tim Hardaway Jr.,23.959537572254334,12.699421965317919,1.5375722543352601,0.5202312138728323,0.08670520231213873,2.994219653179191,2.3815028901734103,0.4548612716763005,0.8351134020618556,0.0
127,P.J. Washington,31.16111111111111,12.694444444444445,1.8388888888888888,0.9777777777777777,0.8,5.794444444444444,1.8277777777777777,0.488727777777778,0.6326910569105691,0.06666666666666667
128,Jalen Suggs,26.85333333333333,12.666666666666666,2.7333333333333334,1.36,0.58,3.2733333333333334,2.0,0.5665866666666667,0.7599611650485436,0.0
129,Dillon Brooks,30.21323529411765,12.375,1.6176470588235294,0.8235294117647058,0.1323529411764706,3.411764705882353,1.7794117647058822,0.5002426470588238,0.8165505617977529,0.014705882352941176
130,Cam Whitmore,17.714285714285715,12.357142857142858,0.7261904761904762,0.6428571428571429,0.3333333333333333,3.7857142857142856,1.6666666666666667,0.5192619047619051,0.6604576271186441,0.023809523809523808
131,Harrison Barnes,28.258064516129032,12.35483870967742,1.1483870967741936,0.6387096774193548,0.14193548387096774,3.0064516129032257,1.8129032258064517,0.5383999999999999,0.7898532110091743,0.0
132,Jonas Valanciunas,22.69090909090909,12.266666666666667,2.090909090909091,0.40606060606060607,0.7878787878787878,8.909090909090908,0.4303030303030303,0.5671939393939394,0.8197610619469026,0.41818181818181815
133,Ayo Dosunmu,28.95,12.057142857142857,3.2214285714285715,0.8857142857142857,0.44285714285714284,2.835714285714286,1.5214285714285714,0.5548642857142858,0.7789710144927535,0.014285714285714285
134,Duncan Robinson,26.181102362204726,12.007874015748031,2.7401574803149606,0.6220472440944882,0.2125984251968504,2.377952755905512,2.5511811023622046,0.542952755905512,0.8452500000000001,0.0
135,Brandon Clarke,21.75,11.916666666666666,1.6666666666666667,0.8333333333333334,1.0833333333333333,5.25,0.16666666666666666,0.5760000000000001,0.1875,0.0
136,Josh Giddey,23.88888888888889,11.901234567901234,4.4753086419753085,0.5987654320987654,0.49382716049382713,6.166666666666667,1.0617283950617284,0.5221172839506178,0.820953488372093,0.10493827160493827
137,Tyus Jones,28.45378151260504,11.890756302521009,7.260504201680672,1.0252100840336134,0.2605042016806723,2.697478991596639,1.588235294117647,0.5663193277310924,0.78335,0.12605042016806722
138,Nic Claxton,28.96062992125984,11.88976377952756,2.0,0.6692913385826772,2.1023622047244093,9.88976377952756,0.007874015748031496,0.6469763779527561,0.5806421052631578,0.4330708661417323
139,Aaron Nesmith,28.296296296296298,11.882716049382717,1.6666666666666667,0.8518518518518519,0.6419753086419753,4.12962962962963,1.808641975308642,0.593450617283951,0.8101709401709402,0.012345679012345678
140,Ivica Zubac,26.511627906976745,11.875968992248062,1.3333333333333333,0.35658914728682173,1.1627906976744187,9.116279069767442,0.0,0.644124031007752,0.70733,0.3643410852713178
141,Max Strus,32.175324675324674,11.792207792207792,3.935064935064935,0.8766233766233766,0.36363636363636365,4.883116883116883,2.311688311688312,0.5195194805194804,0.7911969696969698,0.05844155844155844
142,Jaime Jaquez Jr.,27.333333333333332,11.782608695652174,2.63768115942029,0.9855072463768116,0.2826086956521739,3.7681159420289854,0.8623188405797102,0.5317246376811596,0.8273437500000002,0.007246376811594203
143,Buddy Hield,24.40625,11.725,2.70625,0.8125,0.475,3.13125,2.575,0.5356187500000003,0.897811320754717,0.0125
144,Jeremy Sochan,29.100719424460433,11.719424460431656,3.4388489208633093,0.8705035971223022,0.5467625899280576,6.525179856115108,0.9640287769784173,0.4538129496402879,0.7560549450549452,0.11510791366906475
145,Mike Conley,28.710843373493976,11.626506024096386,5.819277108433735,1.2108433734939759,0.19879518072289157,3.108433734939759,2.3674698795180724,0.5879096385542172,0.8585979381443298,0.07228915662650602
146,Marvin Bagley III,21.191011235955056,11.617977528089888,1.101123595505618,0.42696629213483145,0.6853932584269663,6.47191011235955,0.19101123595505617,0.5804157303370783,0.7394375,0.21348314606741572
147,Clint Capela,25.523076923076925,11.546153846153846,1.2769230769230768,0.6076923076923076,1.476923076923077,10.615384615384615,0.0,0.5784538461538461,0.6472115384615384,0.5076923076923077
148,Zach Collins,21.862595419847327,11.297709923664122,2.931297709923664,0.5343511450381679,0.7175572519083969,5.32824427480916,0.8396946564885496,0.5167022900763362,0.7498181818181818,0.05343511450381679
149,Cole Anthony,21.444444444444443,11.203703703703704,2.876543209876543,0.7530864197530864,0.41358024691358025,3.6666666666666665,1.1111111111111112,0.45298148148148165,0.8153543307086614,0.030864197530864196
150,Santi Aldama,26.188034188034187,11.17094017094017,2.3504273504273505,0.6581196581196581,0.8717948717948718,5.871794871794871,1.811965811965812,0.545948717948718,0.6368275862068967,0.09401709401709402
151,Malik Beasley,28.5875,11.1625,1.31875,0.7375,0.09375,3.49375,2.7875,0.5921499999999997,0.6935483870967742,0.0125
152,Herbert Jones,30.084415584415584,11.097402597402597,2.616883116883117,1.3571428571428572,0.7792207792207793,3.668831168831169,1.5584415584415585,0.5852532467532467,0.8882450980392157,0.0
153,Bruce Brown,27.35593220338983,11.059322033898304,2.8559322033898304,0.8728813559322034,0.2542372881355932,4.211864406779661,0.7966101694915254,0.5226949152542372,0.795469135802469,0.03389830508474576
154,Jusuf Nurkic,26.65972222222222,10.979166666666666,3.923611111111111,1.0763888888888888,1.0763888888888888,10.67361111111111,0.2847222222222222,0.5414305555555553,0.6249212598425197,0.3680555555555556
155,Eric Gordon,27.29230769230769,10.923076923076923,1.9692307692307693,0.9692307692307692,0.47692307692307695,1.8692307692307693,2.230769230769231,0.5224153846153846,0.8531020408163267,0.0
156,Jakob Poeltl,26.0,10.873563218390805,2.425287356321839,0.6781609195402298,1.528735632183908,8.482758620689655,0.0,0.6686321839080464,0.5205689655172414,0.3793103448275862
157,De'Anthony Melton,26.305555555555557,10.847222222222221,2.9722222222222223,1.6111111111111112,0.375,3.5694444444444446,2.0416666666666665,0.46655555555555556,0.7907555555555557,0.0
158,Jaden McDaniels,29.32278481012658,10.841772151898734,1.379746835443038,0.8860759493670886,0.6835443037974683,3.3354430379746836,1.2531645569620253,0.5534683544303801,0.7665657894736843,0.0
159,Alec Burks,18.1640625,10.828125,1.2734375,0.40625,0.1875,2.4609375,1.8359375,0.4410937500000002,0.7979574468085104,0.0
160,Moritz Wagner,17.09375,10.76875,1.1125,0.50625,0.26875,4.29375,0.5,0.6474749999999998,0.7924957983193275,0.03125
161,Luguentz Dort,28.47826086956522,10.751552795031056,1.484472049689441,0.9440993788819876,0.5652173913043478,3.639751552795031,2.031055900621118,0.5466521739130438,0.8222872340425532,0.0
162,Luke Kennard,24.586666666666666,10.746666666666666,3.2933333333333334,0.49333333333333335,0.06666666666666667,2.92,2.68,0.5912133333333334,0.8729999999999999,0.0
163,Russell Westbrook,21.86046511627907,10.720930232558139,4.217054263565892,1.1007751937984496,0.3023255813953488,4.8604651162790695,0.627906976744186,0.4645348837209302,0.68821875,0.10077519379844961
164,T.J. McConnell,18.238993710691823,10.716981132075471,5.446540880503145,0.9811320754716981,0.1069182389937107,2.7861635220125787,0.29559748427672955,0.5474779874213835,0.8210735294117647,0.06289308176100629
165,Dalano Banton,19.49473684210526,10.715789473684211,2.4,0.6526315789473685,0.4105263157894737,3.442105263157895,1.0947368421052632,0.4129789473684212,0.7473538461538463,0.042105263157894736
166,Wendell Carter Jr.,25.149122807017545,10.578947368421053,1.6666666666666667,0.6666666666666666,0.5350877192982456,6.921052631578948,1.1491228070175439,0.5915350877192982,0.6787951807228915,0.14035087719298245
167,Obi Toppin,20.385474860335197,10.553072625698324,1.5977653631284916,0.5418994413407822,0.4972067039106145,3.983240223463687,1.2681564245810055,0.6395642458100558,0.7762553191489362,0.0111731843575419
168,Isaiah Stewart,30.22972972972973,10.527027027027026,1.5810810810810811,0.33783783783783783,0.7027027027027027,6.608108108108108,1.3918918918918919,0.5744459459459459,0.77752,0.0945945945945946
169,Andrew Nembhard,26.57792207792208,10.487012987012987,4.545454545454546,0.8051948051948052,0.13636363636363635,2.4285714285714284,1.0844155844155845,0.5802922077922074,0.7760967741935485,0.025974025974025976
170,Simone Fontecchio,23.93220338983051,10.483050847457626,1.5,0.6610169491525424,0.3305084745762712,3.5762711864406778,2.0338983050847457,0.5680423728813562,0.8333404255319149,0.0
171,Jake LaRavia,22.446153846153845,10.430769230769231,1.6923076923076923,0.8307692307692308,0.35384615384615387,3.6,1.3846153846153846,0.3988923076923077,0.8074545454545454,0.06153846153846154
