,GAME_ID,GAME_DATE,MATCHUP,HOME_EFG_PCT,HOME_FTA_RATE,HOME_TM_TOV_PCT,HOME_OREB_PCT,HOME_OPP_EFG_PCT,HOME_OPP_FTA_RATE,HOME_OPP_TOV_PCT,HOME_OPP_OREB_PCT,HOME_GAME_COUNT,AWAY_EFG_PCT,AWAY_FTA_RATE,AWAY_TM_TOV_PCT,AWAY_OREB_PCT,AWAY_OPP_EFG_PCT,AWAY_OPP_FTA_RATE,AWAY_OPP_TOV_PCT,AWAY_OPP_OREB_PCT,AWAY_GAME_COUNT,PLUS_MINUS,TOTAL_POINTS,HOME_SPREAD,OVER_UNDER
325,21701151,2018-04-01,UTA @ MIN,0.467,0.156,0.136,0.132,0.678,0.329,0.173,0.206,78,0.678,0.329,0.173,0.176,0.467,0.156,0.136,0.226,77,-24.0,218.0,3.0,208.5
326,22200251,2022-11-21,POR @ MIL,0.599,0.291,0.139,0.238,0.516,0.204,0.152,0.294,16,0.516,0.204,0.152,0.235,0.599,0.291,0.139,0.262,17,8.0,230.0,-9.5,214.0
327,21900106,2019-11-06,SAC @ TOR,0.641,0.372,0.136,0.054,0.547,0.221,0.132,0.298,7,0.547,0.221,0.132,0.211,0.641,0.372,0.136,0.135,8,4.0,244.0,-7.5,219.0
328,22200926,2023-02-28,DEN @ HOU,0.541,0.103,0.125,0.196,0.663,0.174,0.111,0.262,61,0.663,0.174,0.111,0.262,0.541,0.103,0.125,0.294,63,-21.0,245.0,12.0,231.5
329,22300956,2024-03-14,LAC @ CHI,0.57,0.186,0.137,0.239,0.725,0.175,0.111,0.212,67,0.725,0.175,0.111,0.182,0.57,0.186,0.137,0.348,65,-15.0,237.0,6.5,214.0
330,21600723,2017-01-30,MEM @ PHX,0.453,0.527,0.179,0.265,0.588,0.3,0.183,0.31,48,0.588,0.3,0.183,0.238,0.453,0.527,0.179,0.286,50,-19.0,,5.0,209.0
331,22001042,2021-05-12,WAS @ ATL,0.57,0.326,0.133,0.156,0.495,0.188,0.065,0.211,70,0.495,0.188,0.065,0.158,0.57,0.326,0.133,0.178,70,4.0,,-7.0,238.5
332,21701194,2018-04-07,OKC @ HOU,0.566,0.303,0.183,0.143,0.451,0.363,0.108,0.357,80,0.451,0.363,0.108,0.268,0.566,0.303,0.183,0.262,80,1.2,210.0,-5.0,218.0
333,21700766,2018-02-02,IND @ CHA,0.62,0.41,0.147,0.282,0.575,0.322,0.106,0.25,51,0.575,0.322,0.106,0.159,0.62,0.41,0.147,0.359,53,7.0,259.0,-3.5,211.0
334,22000539,2021-03-03,DET @ TOR,0.519,0.39,0.144,0.149,0.637,0.231,0.137,0.37,35,0.637,0.231,0.137,0.261,0.519,0.39,0.144,0.191,35,-24.0,,-7.5,211.5
335,22100321,2021-12-01,MIN @ WAS,0.549,0.231,0.14,0.286,0.483,0.295,0.129,0.259,22,0.483,0.295,0.129,0.222,0.549,0.231,0.14,0.347,22,8.0,222.0,-3.5,218.0
336,21700866,2018-02-15,LAL @ MIN,0.5,0.344,0.097,0.22,0.495,0.277,0.121,0.304,61,0.495,0.277,0.121,0.196,0.5,0.344,0.097,0.28,57,8.0,230.0,-10.0,227.0
337,42200123,2023-04-20,PHI @ BKN,0.494,0.278,0.11,0.167,0.567,0.159,0.164,0.372,3,0.567,0.159,0.164,0.256,0.494,0.278,0.11,0.188,3,-5.0,199.0,5.0,210.0
338,21700070,2017-10-27,HOU @ CHA,0.438,0.318,0.092,0.18,0.576,0.153,0.16,0.25,5,0.576,0.153,0.16,0.146,0.438,0.318,0.092,0.262,6,-16.0,202.0,3.0,212.5
339,22300140,2023-11-05,PHX @ DET,0.54,0.161,0.161,0.222,0.547,0.337,0.175,0.409,7,0.547,0.337,0.175,0.318,0.54,0.161,0.161,0.244,7,-14.0,226.0,3.5,217.5
340,22300596,2024-01-20,TOR @ NYK,0.625,0.227,0.212,0.375,0.473,0.25,0.099,0.2,43,0.473,0.25,0.099,0.183,0.625,0.227,0.212,0.45,43,26.0,226.0,-7.5,229.5
341,22100872,2022-02-15,MEM @ NOP,0.523,0.227,0.149,0.239,0.553,0.287,0.129,0.471,58,0.553,0.287,0.129,0.353,0.523,0.227,0.149,0.304,59,-12.0,230.0,5.0,228.5
342,22001027,2021-05-10,IND @ CLE,0.425,0.323,0.116,0.246,0.563,0.182,0.115,0.255,69,0.563,0.182,0.115,0.213,0.425,0.323,0.116,0.344,68,-9.0,,9.5,229.5
343,21800329,2018-11-30,DEN @ POR,0.565,0.247,0.145,0.273,0.54,0.299,0.123,0.308,22,0.54,0.299,0.123,0.25,0.565,0.247,0.145,0.318,22,-1.0,,-1.5,214.5
344,21500224,2015-11-25,DAL @ SAS,0.457,0.235,0.153,0.235,0.446,0.145,0.141,0.196,15,0.446,0.145,0.141,0.176,0.457,0.235,0.153,0.275,16,5.0,,-9.5,197.5
345,22200062,2022-10-26,SAS @ MIN,0.775,0.2,0.163,0.0,0.537,0.232,0.15,0.321,5,0.537,0.232,0.15,0.264,0.775,0.2,0.163,0.063,5,12.0,256.0,-9.5,235.0
346,22200330,2022-12-02,ORL @ CLE,0.583,0.107,0.135,0.116,0.543,0.148,0.193,0.302,23,0.543,0.148,0.193,0.256,0.583,0.107,0.135,0.233,23,11.0,203.0,-11.0,218.0
347,21300576,2014-01-15,DEN @ GSW,0.483,0.367,0.12,0.164,0.614,0.349,0.156,0.214,40,0.614,0.349,0.156,0.214,0.483,0.367,0.12,0.291,38,-7.0,,-7.5,213.0
348,22100799,2022-02-05,NYK @ LAL,0.515,0.275,0.115,0.23,0.454,0.367,0.124,0.313,54,0.454,0.367,0.124,0.234,0.515,0.275,0.115,0.262,53,7.0,237.0,-5.0,216.5
349,21700967,2018-03-07,MEM @ CHI,0.601,0.405,0.192,0.22,0.549,0.305,0.152,0.244,64,0.549,0.305,0.152,0.2,0.601,0.405,0.192,0.39,64,9.0,229.0,-3.5,211.0
350,21201083,2013-03-29,BKN @ DEN,0.595,0.419,0.131,0.216,0.437,0.456,0.229,0.473,74,0.437,0.456,0.229,0.436,0.595,0.419,0.131,0.27,72,22.0,,-7.0,203.0
351,21700527,2017-12-29,PHX @ SAC,0.513,0.288,0.099,0.178,0.559,0.282,0.121,0.396,35,0.559,0.282,0.121,0.333,0.513,0.288,0.099,0.2,37,-10.0,212.0,-2.5,211.0
352,21700641,2018-01-15,SAS @ ATL,0.517,0.163,0.156,0.234,0.471,0.23,0.093,0.231,43,0.471,0.23,0.093,0.154,0.517,0.163,0.156,0.298,45,3.0,201.0,5.5,202.0
353,22300396,2023-12-23,CLE @ CHI,0.488,0.238,0.126,0.111,0.511,0.295,0.133,0.396,31,0.511,0.295,0.133,0.283,0.488,0.238,0.126,0.178,30,-14.0,204.0,-5.5,215.0
354,21500689,2016-01-27,HOU @ SAS,0.622,0.233,0.138,0.293,0.438,0.712,0.152,0.278,46,0.438,0.712,0.152,0.222,0.622,0.233,0.138,0.317,48,31.0,,-11.0,208.5
355,22201008,2023-03-11,BOS @ ATL,0.55,0.16,0.096,0.255,0.653,0.126,0.086,0.205,68,0.653,0.126,0.086,0.114,0.55,0.16,0.096,0.275,68,-9.0,259.0,5.5,239.0
356,21400760,2015-02-07,GSW @ NYK,0.448,0.195,0.159,0.283,0.531,0.296,0.15,0.319,51,0.531,0.296,0.15,0.255,0.448,0.195,0.159,0.321,49,-14.0,,14.0,204.0
357,21200787,2013-02-14,MIA @ OKC,0.459,0.466,0.162,0.119,0.528,0.25,0.142,0.265,53,0.528,0.25,0.142,0.265,0.459,0.466,0.162,0.167,50,-10.0,,-5.0,204.5
358,21300396,2013-12-21,HOU @ DET,0.455,0.292,0.082,0.204,0.614,0.291,0.16,0.216,29,0.614,0.291,0.16,0.135,0.455,0.292,0.082,0.222,28,-17.0,,2.5,209.0
359,21700342,2017-12-04,BKN @ ATL,0.421,0.329,0.175,0.167,0.571,0.176,0.232,0.311,23,0.571,0.176,0.232,0.267,0.421,0.329,0.175,0.204,23,-20.0,200.0,-1.0,218.0
360,21600303,2016-12-04,IND @ LAC,0.506,0.346,0.206,0.32,0.525,0.443,0.11,0.156,22,0.525,0.443,0.11,0.111,0.506,0.346,0.206,0.34,20,-9.0,,-11.0,210.0
361,21401016,2015-03-19,MIN @ NYK,0.433,0.103,0.152,0.211,0.422,0.361,0.158,0.269,68,0.422,0.361,0.158,0.212,0.433,0.103,0.152,0.333,68,-3.0,,0.0,196.0
362,21300317,2013-12-10,PHX @ LAL,0.519,0.4,0.112,0.159,0.559,0.247,0.143,0.286,21,0.559,0.247,0.143,0.238,0.519,0.4,0.112,0.227,21,-6.0,,-3.0,206.5
363,22200489,2022-12-23,POR @ DEN,0.642,0.321,0.111,0.103,0.5,0.299,0.141,0.302,31,0.5,0.299,0.141,0.245,0.642,0.321,0.111,0.205,33,13.0,227.0,-4.5,232.5
364,21600382,2016-12-14,OKC @ UTA,0.674,0.208,0.158,0.129,0.402,0.329,0.11,0.302,26,0.402,0.329,0.11,0.245,0.674,0.208,0.158,0.194,26,20.0,,-7.5,199.0
365,21200050,2012-11-06,ORL @ CHI,0.488,0.286,0.095,0.188,0.465,0.198,0.127,0.283,4,0.465,0.198,0.127,0.208,0.488,0.286,0.095,0.292,3,6.0,,-9.0,186.5
366,21200918,2013-03-08,WAS @ BKN,0.469,0.407,0.197,0.321,0.372,0.189,0.116,0.262,62,0.372,0.189,0.116,0.23,0.469,0.407,0.197,0.411,60,17.0,,-5.5,183.0
367,21400759,2015-02-07,BKN @ WAS,0.557,0.264,0.147,0.348,0.364,0.403,0.162,0.309,52,0.364,0.403,0.162,0.236,0.557,0.264,0.147,0.457,50,37.0,,-6.5,192.5
368,21200556,2013-01-14,ORL @ WAS,0.604,0.305,0.116,0.231,0.454,0.172,0.145,0.3,35,0.454,0.172,0.145,0.22,0.604,0.305,0.116,0.282,37,29.0,,-2.0,193.5
369,21800399,2018-12-10,LAC @ PHX,0.548,0.213,0.139,0.208,0.571,0.388,0.167,0.302,27,0.571,0.388,0.167,0.233,0.548,0.213,0.139,0.25,26,-4.0,,10.0,221.5
370,22100400,2021-12-12,DAL @ OKC,0.456,0.2,0.116,0.058,0.472,0.256,0.091,0.268,26,0.472,0.256,0.091,0.179,0.456,0.2,0.116,0.115,26,-19.0,187.0,4.0,206.5
371,22300774,2024-02-13,SAC @ PHX,0.594,0.424,0.113,0.152,0.563,0.253,0.126,0.313,54,0.563,0.253,0.126,0.313,0.594,0.424,0.113,0.239,53,5.0,255.0,-5.0,245.5
372,21700681,2018-01-20,LAC @ UTA,0.616,0.39,0.198,0.268,0.506,0.463,0.132,0.135,46,0.506,0.463,0.132,0.135,0.616,0.39,0.198,0.317,45,12.0,238.0,-2.0,212.5
373,21700879,2018-02-23,MIA @ NOP,0.481,0.222,0.124,0.21,0.491,0.241,0.109,0.25,58,0.491,0.241,0.109,0.203,0.481,0.222,0.124,0.258,59,1.0,247.0,-2.0,215.0
374,42200213,2023-05-05,BOS @ PHI,0.5,0.346,0.148,0.188,0.535,0.267,0.121,0.265,7,0.535,0.267,0.121,0.184,0.5,0.346,0.148,0.229,9,-12.0,216.0,2.0,214.5
375,21500205,2015-11-23,DET @ MIL,0.572,0.205,0.133,0.293,0.374,0.264,0.185,0.468,14,0.374,0.264,0.185,0.355,0.572,0.205,0.133,0.293,14,21.0,,2.0,191.0
376,22201182,2023-04-04,ATL @ CHI,0.5,0.225,0.08,0.125,0.616,0.221,0.163,0.282,79,0.616,0.221,0.163,0.179,0.5,0.225,0.08,0.125,79,-18.0,228.0,-5.5,227.0
