,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0020800099,1610612749,Bucks,MIL,Milwaukee,240:00,0.424,0.392,0.184,0.333,0.507,0.444,0.114,0.2
1,0020800100,1610612755,76ers,PHI,Philadelphia,240:00,0.395,0.316,0.18,0.188,0.46,0.207,0.158,0.358
0,0020800100,1610612762,Jazz,UTA,Utah,240:00,0.46,0.207,0.158,0.283,0.395,0.316,0.18,0.271
1,0020800101,1610612737,Hawks,ATL,Atlanta,240:00,0.512,0.434,0.104,0.271,0.479,0.266,0.122,0.386
0,0020800101,1610612741,Bulls,CHI,Chicago,240:00,0.479,0.266,0.122,0.333,0.512,0.434,0.104,0.271
1,0020800102,1610612742,Mavericks,DAL,Dallas,240:00,0.453,0.326,0.219,0.377,0.453,0.274,0.148,0.393
0,0020800102,1610612747,Lakers,LAL,Los Angeles,240:00,0.453,0.274,0.148,0.357,0.453,0.326,0.219,0.434
1,0020800103,1610612752,Knicks,NYK,New York,240:00,0.437,0.215,0.164,0.185,0.494,0.247,0.154,0.286
0,0020800103,1610612759,Spurs,SAS,San Antonio,240:00,0.494,0.247,0.154,0.265,0.437,0.215,0.164,0.222
0,0020800104,1610612758,Kings,SAC,Sacramento,240:00,0.513,0.213,0.145,0.256,0.455,0.468,0.079,0.271
1,0020800104,1610612765,Pistons,DET,Detroit,240:00,0.455,0.468,0.079,0.229,0.513,0.213,0.145,0.302
1,0020800105,1610612744,Warriors,GSW,Golden State,265:00,0.525,0.463,0.19,0.239,0.45,0.127,0.103,0.391
0,0020800105,1610612750,Timberwolves,MIN,Minnesota,265:00,0.45,0.127,0.103,0.313,0.525,0.463,0.19,0.348
1,0020800106,1610612755,76ers,PHI,Philadelphia,240:00,0.575,0.213,0.142,0.225,0.456,0.35,0.152,0.347
0,0020800106,1610612761,Raptors,TOR,Toronto,240:00,0.456,0.35,0.152,0.286,0.575,0.213,0.142,0.275
1,0020800107,1610612737,Hawks,ATL,Atlanta,240:00,0.551,0.485,0.162,0.128,0.454,0.553,0.159,0.42
0,0020800107,1610612738,Celtics,BOS,Boston,240:00,0.454,0.553,0.159,0.3,0.551,0.485,0.162,0.231
1,0020800108,1610612748,Heat,MIA,Miami,240:00,0.535,0.333,0.201,0.175,0.519,0.397,0.131,0.311
