,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0022000062,1610612754,Pacers,IND,Indiana,240:00,0.575,0.276,0.137,0.191,0.524,0.293,0.181,0.28
1,0022000063,1610612741,Bulls,CHI,Chicago,240:00,0.62,0.272,0.153,0.2,0.583,0.488,0.131,0.265
0,0022000063,1610612764,Wizards,WAS,Washington,240:00,0.583,0.488,0.131,0.184,0.62,0.272,0.153,0.333
1,0022000064,1610612753,Magic,ORL,Orlando,240:00,0.384,0.221,0.105,0.159,0.566,0.165,0.142,0.208
0,0022000064,1610612755,76ers,PHI,Philadelphia,240:00,0.566,0.165,0.142,0.146,0.384,0.221,0.105,0.206
1,0022000065,1610612745,Rockets,HOU,Houston,240:00,0.599,0.291,0.171,0.222,0.526,0.25,0.139,0.291
0,0022000065,1610612758,Kings,SAC,Sacramento,240:00,0.526,0.25,0.139,0.255,0.599,0.291,0.171,0.222
1,0022000066,1610612752,Knicks,NYK,New York,240:00,0.381,0.227,0.154,0.15,0.512,0.253,0.178,0.208
0,0022000066,1610612761,Raptors,TOR,Toronto,240:00,0.512,0.253,0.178,0.17,0.381,0.227,0.154,0.217
1,0022000067,1610612740,Pelicans,NOP,New Orleans,240:00,0.555,0.209,0.132,0.28,0.469,0.188,0.193,0.182
0,0022000067,1610612760,Thunder,OKC,Oklahoma City,240:00,0.469,0.188,0.193,0.127,0.555,0.209,0.132,0.32
1,0022000068,1610612756,Suns,PHX,Phoenix,240:00,0.589,0.119,0.152,0.114,0.488,0.226,0.145,0.235
0,0022000068,1610612762,Jazz,UTA,Utah,240:00,0.488,0.226,0.145,0.196,0.589,0.119,0.152,0.182
0,0022000069,1610612763,Grizzlies,MEM,Memphis,240:00,0.556,0.111,0.168,0.204,0.459,0.244,0.182,0.255
1,0022000069,1610612766,Hornets,CHA,Charlotte,240:00,0.459,0.244,0.182,0.182,0.556,0.111,0.168,0.286
