GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21901255,1610612762,Jazz,UTA,Utah,240:00,0.518,0.301,0.194,0.149,0.555,0.378,0.133,0.182
21901256,1610612749,Bucks,MIL,Milwaukee,240:00,0.574,0.261,0.173,0.137,0.519,0.155,0.064,0.161
21901256,1610612751,Nets,BKN,Brooklyn,240:00,0.519,0.155,0.064,0.113,0.574,0.261,0.173,0.255
21901257,1610612742,Mavericks,DAL,Dallas,265:00,0.417,0.556,0.152,0.27,0.49,0.115,0.098,0.27
21901257,1610612758,Kings,SAC,Sacramento,265:00,0.49,0.115,0.098,0.127,0.417,0.556,0.152,0.349
21901258,1610612746,Clippers,LAC,LA,240:00,0.541,0.318,0.101,0.182,0.557,0.146,0.081,0.204
21901258,1610612756,Suns,PHX,Phoenix,240:00,0.557,0.146,0.081,0.204,0.541,0.318,0.101,0.205
21901259,1610612753,Magic,ORL,Orlando,240:00,0.549,0.28,0.182,0.244,0.625,0.226,0.072,0.125
21901259,1610612754,Pacers,IND,Indiana,240:00,0.625,0.226,0.072,0.05,0.549,0.28,0.182,0.267
21901260,1610612738,Celtics,BOS,Boston,240:00,0.494,0.318,0.162,0.28,0.539,0.506,0.137,0.292
21901260,1610612748,Heat,MIA,Miami,240:00,0.539,0.506,0.137,0.25,0.494,0.318,0.162,0.38
21901261,1610612745,Rockets,HOU,Houston,240:00,0.5,0.276,0.098,0.088,0.474,0.305,0.115,0.333
21901261,1610612757,Trail Blazers,POR,Portland,240:00,0.474,0.305,0.115,0.25,0.5,0.276,0.098,0.123
21901262,1610612762,Jazz,UTA,Utah,240:00,0.56,0.393,0.171,0.234,0.533,0.275,0.131,0.245
21901262,1610612763,Grizzlies,MEM,Memphis,240:00,0.533,0.275,0.131,0.184,0.56,0.393,0.171,0.319
21901263,1610612755,76ers,PHI,Philadelphia,240:00,0.53,0.354,0.136,0.122,0.465,0.282,0.148,0.224
21901263,1610612764,Wizards,WAS,Washington,240:00,0.465,0.282,0.148,0.184,0.53,0.354,0.136,0.204
21901264,1610612743,Nuggets,DEN,Denver,240:00,0.626,0.231,0.14,0.326,0.554,0.29,0.087,0.327
21901264,1610612759,Spurs,SAS,San Antonio,240:00,0.554,0.29,0.087,0.204,0.626,0.231,0.14,0.349
21901265,1610612747,Lakers,LAL,Los Angeles,240:00,0.381,0.33,0.108,0.159,0.462,0.456,0.134,0.167
21901265,1610612760,Thunder,OKC,Oklahoma City,240:00,0.462,0.456,0.134,0.083,0.381,0.33,0.108,0.19
21901266,1610612753,Magic,ORL,Orlando,240:00,0.466,0.299,0.126,0.145,0.564,0.385,0.145,0.116
21901266,1610612761,Raptors,TOR,Toronto,240:00,0.564,0.385,0.145,0.07,0.466,0.299,0.126,0.182
21901267,1610612738,Celtics,BOS,Boston,240:00,0.682,0.398,0.126,0.146,0.516,0.221,0.156,0.245
21901267,1610612751,Nets,BKN,Brooklyn,240:00,0.516,0.221,0.156,0.132,0.682,0.398,0.126,0.244
21901268,1610612740,Pelicans,NOP,New Orleans,240:00,0.659,0.28,0.163,0.135,0.624,0.355,0.078,0.37
21901268,1610612758,Kings,SAC,Sacramento,240:00,0.624,0.355,0.078,0.283,0.659,0.28,0.163,0.216
21901269,1610612748,Heat,MIA,Miami,240:00,0.548,0.325,0.176,0.122,0.622,0.487,0.135,0.154
21901269,1610612749,Bucks,MIL,Milwaukee,240:00,0.622,0.487,0.135,0.128,0.548,0.325,0.176,0.184
21901270,1610612754,Pacers,IND,Indiana,240:00,0.494,0.224,0.145,0.1,0.516,0.217,0.153,0.32
21901270,1610612756,Suns,PHX,Phoenix,240:00,0.516,0.217,0.153,0.24,0.494,0.224,0.145,0.12
21901271,1610612742,Mavericks,DAL,Dallas,240:00,0.546,0.241,0.083,0.157,0.62,0.163,0.082,0.302
21901271,1610612746,Clippers,LAC,LA,240:00,0.62,0.163,0.082,0.209,0.546,0.241,0.083,0.196
21901272,1610612743,Nuggets,DEN,Denver,240:00,0.607,0.202,0.166,0.256,0.592,0.217,0.093,0.32
21901272,1610612757,Trail Blazers,POR,Portland,240:00,0.592,0.217,0.093,0.26,0.607,0.202,0.166,0.326
21901273,1610612745,Rockets,HOU,Houston,240:00,0.554,0.274,0.182,0.082,0.468,0.468,0.236,0.304
21901273,1610612747,Lakers,LAL,Los Angeles,240:00,0.468,0.468,0.236,0.261,0.554,0.274,0.182,0.224
21901274,1610612759,Spurs,SAS,San Antonio,240:00,0.556,0.292,0.123,0.163,0.505,0.264,0.149,0.246
21901274,1610612762,Jazz,UTA,Utah,240:00,0.505,0.264,0.149,0.175,0.556,0.292,0.123,0.204
